date,open,high,low,close,adj_close,volume
,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
2025-11-05,101579.234375,104534.703125,98989.9140625,103891.8359375,103891.8359375,77584934804
2025-11-06,103893.6640625,104147.3046875,100336.8671875,101301.2890625,101301.2890625,63932752861
2025-11-07,101286.2421875,104052.9140625,99257.0546875,103372.40625,103372.40625,92168030081
2025-11-08,103371.703125,103373.5625,101458.0390625,102282.1171875,102282.1171875,51446691095
2025-11-09,102278.984375,105418.3671875,101468.875,104719.640625,104719.640625,59679243013
2025-11-10,104723.7734375,106564.6953125,104350.6484375,105996.59375,105996.59375,69585887229
2025-11-11,105996.859375,107428.2578125,102457.328125,102997.46875,102997.46875,71130078574
2025-11-12,103011.4375,105297.234375,100836.6171875,101663.1875,101663.1875,64347179408
2025-11-13,101674.1484375,104005.4921875,97988.71875,99697.4921875,99697.4921875,101546815416
2025-11-14,99694.703125,99804.4296875,94000.734375,94397.7890625,94397.7890625,114346441890
2025-11-15,94420.46875,96728.46875,94420.46875,95549.1484375,95549.1484375,38500716654
2025-11-16,95556.8671875,96564.1875,92971.1640625,94177.078125,94177.078125,71086235862
2025-11-17,94180.875,95928.3671875,91214.7578125,92093.875,92093.875,94186165724
2025-11-18,92094.53125,93745.078125,89300.4609375,92948.875,92948.875,101333569062
2025-11-19,92946.1640625,92946.1640625,88526.828125,91465.9921875,91465.9921875,80350354656
2025-11-20,91459.3515625,93025.0703125,86040.796875,86631.8984375,86631.8984375,97970645638
2025-11-21,86528.7734375,87380.8046875,80659.8125,85090.6875,85090.6875,129157506112
2025-11-22,85098.5625,85503.0078125,83490.8984375,84648.359375,84648.359375,40793099246
2025-11-23,84648.609375,88038.46875,84641.7734375,86805.0078125,86805.0078125,58083435576
2025-11-24,86798.7734375,89206.3359375,85272.1953125,88270.5625,88270.5625,74433896110
2025-11-25,88269.9609375,88457.3359375,86131.4296875,87341.890625,87341.890625,64837343545
2025-11-26,87345.5859375,90581.15625,86316.8984375,90518.3671875,90518.3671875,66496301869
2025-11-27,90517.765625,91897.578125,90089.515625,91285.375,91285.375,57040622845
2025-11-28,91285.3828125,92969.0859375,90257.1171875,90919.265625,90919.265625,60895830289
2025-11-29,90918.7421875,91187.6171875,90260.1875,90851.7578125,90851.7578125,37921773455
2025-11-30,90838.2109375,91965.046875,90394.3125,90394.3125,90394.3125,38497902869
2025-12-01,90389.109375,90398.15625,83862.25,86321.5703125,86321.5703125,87962894424
2025-12-02,86322.5390625,92316.6328125,86202.1953125,91350.203125,91350.203125,78546798211
2025-12-03,91345.09375,94060.7734375,91056.390625,93527.8046875,93527.8046875,77650204986
2025-12-04,93463.3828125,94010.2890625,91909.1796875,92182.0078125,92182.0078125,66308521984
